nom_centre;adresse;code_postal;ville;telephone;email;site_web;latitude;longitude
Bordeaux - Newdeal Institut;2 Parvis Gattebourse;33800;Bordeaux;0953031620;contact@newdealinstitut.com;http://francais.newdealinstitut.com;44.820341;-0.546333
Bourgoin-Jallieu - GRETA NORD-ISERE;33 Avenue d'Italie;38307;Bourgoin-Jallieu;0474280486;Gretanisere@gretani.com;http://gretani.fr;45.597957;5.266993
Brest Cedex 3 - Université de Bretagne Occidentale - Formation Continue et Alternance;20 avenue Victor Le Gorgeu - CS 93837;29238;Brest Cedex 3;0298016778;fle.ubo@univ-brest.fr;http://www.univ-brest.fr/fc;48.406435;-4.497735
Bron - Culture Education Formation Individualisée (CEFI);"11, rue d'Alsace Lorraine";69500;Bron;0472374897;cefi@cefi-formation.fr;http://www.cefi-formation.fr;45.734074;4.912066
Cachan - GRETA VAL DE MARNE - Collège Victor Hugo;5 rue Pierre Curie;94230;Cachan;0149085980;greta94.hugo@ac-creteil.fr;http://www.forpro-creteil.org;48.788417;2.322356
Caen Cedex 5 - Université de Caen Basse Normandie - Carré international - PFL - Bureau certifications;Esplanade de la Paix;14032;Caen Cedex 5;02 31 56 60 38;intl.certifications@unicaen.fr;http://international.unicaen.fr/certifications;49.184316;-0.37193
Carcassonne - GRETA-CFA de l'Aude - site de Carcassonne;750 Avenue Antoine Durand;11000;Carcassonne;04 68 25 00 19;carcassonne@greta-aude.fr;https://maforpro-occitanie.fr/nos-formations;43.210238;2.303169
Carpentras - CAP FORMATION;89 avenue Notre Dame de Santé;84200;Carpentras;04 90 60 32 72;contact@cap-formation.com;http://www.cap-formation.com;44.057795;5.048194
Cayenne - Alliance française de Cayenne;2 place du Marché;97300;Cayenne;594309872;direction@afcayenne.org;https://afcayenne.org/;4.9363;-52.334173
Cergy-Pontoise - CY Cergy Paris Université - Centre de Langue Française (CLF);"33, boulevard du port";95011;Cergy-Pontoise;01 34 25 64 39;languefrancaise@ml.u-cergy.fr;https://www.u-cergy.fr/fr/index.html;49.047592;2.099968
Chalon-Sur-Saône - Cedex - GRETA 71 - Sud Bourgogne - Antenne de Chalon-sur-Saône;141 Avenue Boucicaut;71321;Chalon-Sur-Saône - Cedex;03 85 99 19 77;marie-paule.thibaud@ac-dijon.fr;;46.7917;4.845526
Chambery Cedex - ACCENTS;DOMAINE UNIVERSITAIRE DE JACOB BELLECOMBETTE - BP 1104;73011;Chambery Cedex;04 79 75 84 15;certifications.accents@univ-smb.fr;https://www.univ-smb.fr/accents/;45.583223;5.909299
Clermont-Ferrand - Université Clermont Auvergne - Centre Fleura;49 boulevard François Mitterrand;63001;Clermont-Ferrand;0473406493;centre-fleura@uca.fr;https://www.uca.fr/international/apprendre-le-francais/centre-fleura;45.786671;3.107055
Dijon - GRETA 21;Lycée Le Castel - 22 rue Daubenton;21000;Dijon;03 80 59 61 80;agencecom.greta21@ac-dijon.fr;http://www.bourgogne-greta.fr/vos-greta-en-bourgogne;47.313037;5.036726
Dijon Cedex - Centre International d'Etudes Françaises (CIEF);Maison de l'université - BP 87874;21078;Dijon Cedex;0380393560;cief@u-bourgogne.fr;http://www.u-bourgogne.fr/CIEF;47.331953;5.033601
Écully Cedex - Centrale Lyon;"36, av. Guy de Collongue";69134;Écully Cedex;0609141378;florence.milon@ec-lyon.fr;https://www.ec-lyon.fr/;45.782507;4.776493
Ferney-Voltaire - GRETA CFA DE L'AIN - SITE DE FERNEY VOLTAIRE;48 rue de Vessy;01210;Ferney-Voltaire;04.50.42.87.54;greta.ain.ferney@ac-lyon.fr;http://www1.ac-lyon.fr/greta/ain;46.265131;6.115318
Gennevilliers - PROSODIA;"3, promenade de la Bonnette";92230;Gennevilliers;0147940015;contact@prosodia.fr;http://www.prosodia.fr;48.934002;2.305971
Grenoble - Alliance Française Grenoble Alpes;2 rue de sault;38000;Grenoble;04 76 56 25 84;examens@afgrenoble.org;http://www.afgrenoble.org;45.182828;5.724301
Guyancourt - Université de Versailles Saint Quentin en Yvelines - CEREL;"5,7 boulevard d'Alembert";78280;Guyancourt;01 39 25 42 51;cerel@uvsq.fr;http://www.cerel.uvsq.fr;48.779184;2.044679
Istres - LA FARANDOLE;"Allée des Échoppes, Bâtiment A4";13800;Istres;07 49 14 23 64;monica.lafarandole@gmail.com;https://languesfarandole.wordpress.com/;43.506132;4.987905
Ivry Sur Seine - Ressources Formation;23 rue Raspail;94200;Ivry Sur Seine;0146725786;thiziri.madour@ressourcesformation.fr;http://www.ressourcesformation.fr;48.809795;2.3899
La Courneuve - LE POLE;139–147 avenue Paul Vaillant Couturier;93120;La Courneuve;01 48 13 02 66;s.polat@lepole-formation.fr;https://lepole-formation.fr/;48.925796;2.41571
La Rochelle Cedex 1 - IUL-FLE ( Institut Universitaire des Langues-FLE) La Rochelle Université;"1, parvis Fernand Braudel";17042;La Rochelle Cedex 1;0546456823;IUL-FLE@univ-lr.fr;https://www.univ-larochelle.fr/international/apprendre-le-francais/;46.157457;-1.170642
Laval - Collège Alain Gerbault;4 rue Mortier;53000;Laval;02 43 53 14 24;najia.pineau@ac-nantes.fr;;48.061601;-0.748732
Le Havre - RECIFE;"45, rue d'Iéna";76600;Le Havre;02.35.24.68.68;contact@recife-formation.fr;http://www.recife-formation.fr;49.491863;0.137032
Le Mée Sur Seine - Ressources Formation;335 rue du Bois Guyot;77350;Le Mée Sur Seine;0160682618;mina.benbella@ressourcesformation.fr;https://ressourcesformation.fr/;48.538521;2.623478
Le Mée-sur-Seine - UPROMI;335 rue du Bois Guyot;77350;Le Mée-sur-Seine;01 64 39 47 48;contact@upromi.fr;http://www.upromi.com;48.538521;2.623478
Le Puy-En-Velay - GRETA AUVERGNE Agence 43;27 boulevard du Président Bertrand;43000;Le Puy-En-Velay;0471098020;greta-auvergne.agence43@ac-clermont.fr;https://greta.ac-clermont.fr/nos-greta/greta-auvergne-agence-43/;45.03596;3.885075
Les Abymes - CASNAV de la Guadeloupe;Rectorat - Académie de Guadeloupe-BP 480 Parc d'activités La Providence ZAC de Dothémare;97110;Les Abymes;0590478453;casnav@ac-guadeloupe.fr;;16.26369;-61.489677
Les Abymes - JIELLE FORMATION;IMMEUBLE LAVANDA - RUE ROLIERE ARNOUX;97139;Les Abymes;+590590486558;secretariat@jielleformation.com;http://www.jielleformation.com;16.256749;-61.524936
Lille - Alliance Française de Lille Métropole;2 rue Bernos;59800;Lille;03 74 67 78 95;direction@aflille.org;http://www.aflille.org;50.633237;3.085983
Limoges - UNIVERSITÉ DE LIMOGES - POLE INTERNATIONAL;Campus de Vanteaux - 39H rue Camille Guérin - Maison des langues - Service des certifications;87036;Limoges;05 55 43 56 59;mlangues-delfdalf@unilim.fr;https://www.unilim.fr/mdl/;45.856159;1.221254
Longvic - Ecoles des Métiers de Dijon Métropole;1 Chemin de la Noue CS 10080;21602;Longvic;03 45 34 62 00;emmanuelarnal@ecoledesmetiers.fr;https://www.ecoledesmetiers.fr/#;47.286212;5.052871
Lorient Cedex - Centre de Langues de l'Université Bretagne Sud (CLUBS);4 rue Jean Zay - CS 7030;56321;Lorient Cedex;0297872919;clubs@univ-ubs.fr;http://www.univ-ubs.fr/clubs;47.750364;-3.378025
Lyon - Alliance Française de Lyon;11 rue Pierre Bourdan;69003;Lyon;0478952472;tests_examens@aflyon.org;http://www.aflyon.org/;45.757166;4.844304
Lyon - ALPES Formation;13 Rue Delandine;69002;Lyon;0472416434;alpes@alpes-formation.fr;http://www.alpes-formation.fr/;45.746986;4.827544
Lyon - GRETA CFA Lyon Métropole;27 rue Gentil;69002;Lyon;04 78 78 84 84;greta.lyonmetropole@ac-lyon.fr;https://greta-cfa.ac-lyon.fr/greta/greta-cfa-lyon-metropole;45.765071;4.837934
Lyon - INFLEXYON;48 rue Quivogne;69002;Lyon;0478397702;contact@lyon-exam.com;https://lyon-exam.com/;45.742562;4.822887
Lyon - Institut de langue et de culture françaises (ILCF);"23, place Carnot";69002;Lyon;04 72 32 50 53;ilcf@univ-catholyon.fr;http://www.ilcf.net;45.751427;4.82696
Lyon - Lyon Bleu International;82 rue Duguesclin;69006;Lyon;0437480026;exam@lyon-bleu.fr;http://lyon-bleu.com;45.770196;4.846974
Lyon - REN Formation;38 grande rue de Vaise;69009;Lyon;04 78 83 76 53;contact.ren@groupe-geim.fr;http://renformation.groupe-geim.fr/;45.773965;4.808096
Mâcon - Calad'Impulsion Formation;"SCRIBES 71 e-TIC Place, Cité de l'Entreprise, 200 Bvd de la Résistance - Bât MB";71000;Mâcon;04 74 02 53 53;formation@calad-impulsion.fr;https://calad-impulsion-formation.fr/;46.293488;4.822874
Mamoudzou-Cedex - GRETA-CFA de Mayotte;LPO Lycée des Métiers des goûts et de saveurs - Kawéni - BP 205;97646;Mamoudzou-Cedex;0269610803;greta@ac-mayotte.fr;http://greta.ac-mayotte.fr;-12.797661;45.197602
Marseille - Alliance française Aix-Marseille Provence;"72-74, rue Saint Suffren";13006;Marseille;0496102460;pedagogie@afaixmarseille.org;https://afaixmarseille.org/fr/;43.287709;5.379563
Marseille - Ecole de la 2e chance de Marseille;360 Chemin de la Madrague Ville;13015;Marseille;04 96 15 80 40;contactdelf@e2c-marseille.net;http://www.e2c-marseille.net/;43.334068;5.358014
Marseille - Espace Pédagogie Formation France;21 rue Roux de Brignoles;13006;Marseille;04 91 37 33 24;delf@epff.eu;http://www.epff.eu;43.289547;5.373862
Mont Saint Aignan - Maison des Langues - Université de Rouen;"17, rue Lavoisier - bâtiment 7c";76821;Mont Saint Aignan;02.35.14.93.83;helen.braund@univ-rouen.fr;https://mdl.univ-rouen.fr/;49.467092;1.081645
Montcenis - GRETA 71 Sud Bourgogne - Antenne CCM Site Creusot;2 impasse Bel Air;71710;Montcenis;0385553068;cecile.valette@ac-dijon.fr;;46.788075;4.418356
Montpellier - Université de Montpellier Paul-Valéry - Centre DELF-DALF;Route de Mende;34199;Montpellier;04 67 14 21 89;patricia.gardies@univ-montp3.fr;https://iefe.univ-montp3.fr/;43.610476;3.87048
Montpellier Cedex 02 - GRETA CFA Montpellier Littoral;Lycée Jean Mermoz - 717 avenue Jean Mermoz - CS 29007;34060;Montpellier Cedex 02;0467203600;accueil@gretacfa-montpellier.fr;https://www.gretacfa-montpellier.fr/;43.610476;3.87048
Montreuil - Association Ambroise Croizat;60 rue de la République;93100;Montreuil;01 48 18 57 24;centredexamen-dlf@asso-croizat.org;http://www.asso-croizat.org;48.852235;2.416128
Nancy Cedex - CEL - GIP FORMATION;28 rue de Saurupt BP 3039;54012;Nancy Cedex;03 83 55 65 55;gip-cel@ac-nancy-metz.fr;http://www.cel-gip.fr;48.688135;6.171263
Nancy Cedex - DéFLE Lorraine;23 boulevard Albert 1er - BP 60446;54001;Nancy Cedex;03 72 74 31 80;aline.faure@univ-lorraine.fr;http://www.defle.univ-lorraine.fr/;48.688135;6.171263
Nantes Cedex 3 - NANTES UNIVERSITE - Service Universitaire des Langues - Institut de Français Langue Etrangère;Chemin de la Censive du Tertre - BP 81227;44312;Nantes Cedex 3;02 53 48 77 19;sul-fle@univ-nantes.fr;http://www.i-fle.univ-nantes.fr/;47.239367;-1.555335
Nice - Centre Universitaire d'Etudes en Français Langue Etrangère (CUEFLE) - Université Côte D'Azur;98 BOULEVARD EDOUARD HERRIOT;06200;Nice;0489151976;Elisabeth.FAUPIN@univ-cotedazur.fr;http://www.unice.fr/scl/cuefle/index.php?lang=fr;43.692341;7.237538
Nimes - Greta CFA du Gard Espace Diderot;663 rue Neper;30900;Nimes;0466680011;greta-cfa-nimes@greta-gard.com;http://www.greta-gard.com;43.827935;4.329883
Nouméa - Centre de Rencontres et d'Echanges Internationaux du Pacifique (CREIPAC);"100 avenue James Cook, Nouville- BP 3755 Nouméa";98846;Nouméa;687254124;creipac@creipac.nc;http://Creipac.nc;-22.262744;166.445742
Nouméa - Université de la Nouvelle-Calédonie - Maison des Langues et des Mobilités;Campus de Nouville - BP R4;98851;Nouméa;290480;darred@unc.nc;http://www.univ-nc.nc;-22.262744;166.445742
Orleans - ESPACE C2B - CRIA 45;3 rue Edouard Branly;45100;Orleans;0238637722;examens@cria45.com;http://www.cria45.com/examens/;47.834123;1.934183
Orleans Cedex2 - Institut de français de l'Université d'Orléans;"10, rue de Tours - BP 46527";45065;Orleans Cedex2;0238494846;idf.delf-dalf@univ-orleans.fr;http://www.univ-orleans.fr/idf/delfdalf;47.873569;1.911358
Papeete - Horizons Francophones;BP 42 937 Fare Tony;98731;Papeete;40852047;formation@horizons-francophones.com;;-17.546787;-149.562303
PARIS - Alliance Française de Paris;"101, boulevard Raspail";75006;PARIS;0142849000;examens@alliancefr.org;http://www.alliancefr.org/;48.84634;2.328547
Paris - CASNAV de Paris;14 Boulevard d'Indochine;75019;Paris;0144623596;angela.dumas@ac-paris.fr;http://www.ac-paris.fr;48.885023;2.396974
Paris - Cours de Civilisation Française de la Sorbonne - CCFS;"7-11, avenue des Chasseurs";75017;Paris;+33144107725;yves.delafoy@ccfs-sorbonne.fr;http://www.ccfs-sorbonne.fr;48.886966;2.305943
Paris - Faculté des Lettres de Sorbonne Université SELFEE-Sorbonne;1 rue Victor Cousin;75005;Paris;0140463221;lettres-selfee@sorbonne-universite.fr;https://lettres.sorbonne-universite.fr/selfee;48.848311;2.342809
Paris - PROSODIA;256 rue de Belleville;75020;Paris;01 47 94 00 15;contact@prosodia.fr;http://www.prosodia.fr;48.875682;2.40098
Paris - THOT - Transmettre un Horizon à Tous;5 bis rue du Louvre;75001;Paris;0781671723;examen@thot-fle.fr;https://thot-fle.fr/fr/;48.862005;2.34122
Paris - Université Sorbonne Nouvelle - DFTLVIP - SFC;8 Avenue de Saint-Mandé;75012;Paris;01 45 87 41 97;delfdalf.sfc@sorbonne-nouvelle.fr;https://www.sorbonne-nouvelle.fr/diplomes-delf-dalf-tout-public-887556.kjsp;48.845259;2.396735
Pau - International School of Béarn;200 boulevard du Cami Salié;64000;Pau;0559900974;contact@isbearn.com;http://www.isbearn.com;43.32608;-0.331842
Pau Cedex - IEFE- Université de Pau;"Bâtiment des Lettres, avenue du Doyen Poplawski BP 1160";64013;Pau Cedex;0559407385;iefe@univ-pau.fr;http://iefe.univ-pau.fr/fr/index.html;43.313503;-0.343106
Périgueux - APARE;"141-143, rue Combe des Dames";24000;Périgueux;0553026500;c.parisien@apare.fr;;45.193403;0.723011
Perpignan - Département Centre Universitaire d'Etudes Françaises - CUEF;"Université de Perpignan Via Domitia, 52, avenue P. Alduy";66000;Perpignan;0468662010;sco-cuef@univ-perp.fr;http://www.cuef.fr;42.701507;2.902811
"Pessac Cedex - Université Bordeaux Montaigne-Domaine universitaire, Département d'études de FLE";Esplanade des Antilles;33607;Pessac Cedex;0557124444;defle@u-bordeaux-montaigne.fr;http://www.defle.u-bordeaux-montaigne.fr;44.787469;-0.675933
Poitiers Cedex 9 - Centre de Français Langue Etrangère (CFLE) - Université de Poitiers - UFR Lettres et langues;Secteur A3 - 1 rue Raymond Cantel - TSA 11102;86073;Poitiers Cedex 9;0549453294;centre.fle@univ-poitiers.fr;http://cfle.univ-poitiers.fr/;46.586578;0.35668
Pontarlier - GRETA du Haut-Doubs;48 rue de Besançon;25300;Pontarlier;0381393531;gretahd.pontarlier@ac-besancon.fr;http://www.greta.ac-besancon.fr;46.908477;6.349529
Reims Cedex - Rectorat de l'académie de Reims;1 rue Navier;51082;Reims Cedex;0326056876;maryse.messager@ac-reims.fr;;49.250948;4.055595
Reims Cedex 2 - Centre International d'Etudes Françaises (CIEF);Campus Moulin de la Housse - Bâtiment 5ter - B.P. 1039;51687;Reims Cedex 2;0326918195;cief@univ-reims.fr;http://univ-reims.fr/cief;49.250948;4.055595
Rennes Cedex - Université Rennes 2 - CIREFE;Place du recteur Henri Le Moal - CS 24307;35043;Rennes Cedex;02 23 22 58 20;chrystele.brunel@univ-rennes2.fr;https://sites-formations.univ-rennes2.fr/cirefe/;48.110899;-1.68365
Rodez - CRAISAF;"Maison des Associations 15, avenue TARAYRE";12000;Rodez;0565770974;craisaf@orange.fr;http://www.craisaf.fr;44.356403;2.578435
Rouen - Alliance Française de Normandie;80 boulevard de l'Yser;76000;Rouen;02.35.98.55.99;contact@afnormandie.org;http://www.afnormandie.org/;49.447229;1.095867
Rouen - Education et Formation;"13, boulevard de Verdun";76000;Rouen;02.76.51.76.76;e.oliveira@educationetformation.fr;http://www.educationetformation.fr;49.443283;1.112586
Royan - CAREL;48 boulevard Franck LAMY;17200;Royan;0546395000;gstuit@carel.org;http://www.carel-royan.fr/;45.628831;-1.017066
Saint Denis - GRETA 93 SEINE ST DENIS;Espace projets Jean Lurçat 2 rue Diderot;93200;Saint Denis;0149208990;sophie.chen@ac-creteil.fr;http://www.forpro-creteil.org/GMTE93.html;48.935511;2.38051
Saint Denis - LEO LAGRANGE FORMATION;8 rue Charles Michels;93200;Saint Denis;0148409980;margot.moussel@leolagrange.org;;48.935224;2.343686
Saint Quentin En Yvelines Cedex - CASNAV des Yvelines;DSDEN des Yvelines- Casnav 78- BP 100;78053;Saint Quentin En Yvelines Cedex;0139236376;ce.casnav78@ac-versailles.fr;;49.847398;3.28745
Saint-Denis - Alliance Française de La Réunion;4 RUELLE TORTUE;97400;Saint-Denis;0692200210;aflareunion@gmail.com;;-20.879717;55.446144
Saint-Denis - CASNAV Académie de La Réunion;24 Avenue Georges Brassens CS 71003;97743;Saint-Denis;262481303;casnav@ac-reunion.fr;;-20.909778;55.444588
Saint-Denis Cedex 9 - Université de La Réunion - Maison des Langues;15 Avenue René Cassin CS 92003;97744;Saint-Denis Cedex 9;0262938317;maisondeslangues@univ-reunion.fr;http://maisondeslangues.univ-reunion.fr/;-20.909778;55.444588
Saint-Etienne Cedex 2 - CILEC - Université Jean Monnet;21 rue Denis Papin;42023;Saint-Etienne Cedex 2;0477437973;cilec@univ-st-etienne.fr;https://cilec.univ-st-etienne.fr/;45.430195;4.370045
Saint-Malo - Alliance française Saint Malo Bretagne;Immeuble Le Rivoli - 8 Bd Villebois Mareuil;35400;Saint-Malo;02 23 18 25 94;alliancefrancaise.saintmalo@gmail.com;http://www.alliancefr-saintmalo.org/;48.650842;-2.00749
Saint-Martin-D'Heres - Centre universitaire d'études françaises (CUEF) - Université Grenoble Alpes;1491 RUE DES RESIDENCES;38400;Saint-Martin-D'Heres;04 76 74 87 82;cuef-scolarite@univ-grenoble-alpes.fr;https://cuef.univ-grenoble-alpes.fr/;45.189581;5.768136
Strasbourg - Alliance française Strasbourg Europe;12 rue des Pontonniers;67000;Strasbourg;03 88 75 62 55;accueil@afstrasbourg.eu;http://www.afstrasbourg.eu/fr;48.584294;7.75712
Strasbourg - Ecole Européenne de Strasbourg;2 rue Peter Schwarber;67000;Strasbourg;0388348220;ecole.europeenne@stra-edu.eu;http://www.ee-strasbourg.fr;48.600378;7.776911
"Strasbourg - Pôle FLE - Institut international d'études françaises, Université de Strasbourg";"4 rue Blaise Pascal, CS 90032, FR-67081, Université de Strasbourg, Faculté des langues, Le Pangloss";67081;Strasbourg;0368856053;ief@unistra.fr;https://fle-iief.unistra.fr/;48.579831;7.761454
Torcy - INFREP;4 allée Emile Reynaud;77200;Torcy;0160179523;vdegualy@infrep.org;http://www.infrep.org;48.833216;2.661496
Toulouse - CREPT Formation;130 rue Henri Desbals;31100;Toulouse;0562729393;crept-toulouse@crept-formation.com;http://www.creptformation.com;43.580568;1.412925
Toulouse - Langue Onze Toulouse Ecole de langues;10 rue des Arts;31000;Toulouse;0561625458;info@langueonze.com;http://www.langueonze.com;43.600237;1.447115
Toulouse - SPLE Centre International de Langues VIDAL;3 ter boulevard Lascrosses;31000;Toulouse;0561239091;sple31@orange.fr;http://www.sple.fr;43.611072;1.437839
Toulouse Cedex 4 - Alliance française de Toulouse;3 Bis Guy Hersant;31400;Toulouse Cedex 4;0534452610;pedagogie@alliance-toulouse.org;http://www.alliance-toulouse.org;43.577458;1.444038
Toulouse Cedex 9 - Université Toulouse Jean Jaurès - DEFLE;LLCE - DEFLE - Bât Erasme 1er étage - Bureau LA169 - 5 allées Antonio Machado;31058;Toulouse Cedex 9;0561504694;certification-fle@univ-tlse2.fr;http://defle.univ-tlse2.fr/;43.604082;1.433805
Tournon Sur Rhone - Centre de Formation CEFORA;20 RUE DU 14 JUILLET;07300;Tournon Sur Rhone;04 75 07 14 06;centredelfdalf@cefora.org;http://www.cefora.org/;45.066488;4.834332
Tours - AFFIC CRIA 37;3 Place Raspail;37000;Tours;0247471287;cria37@gmail.com;http://cria37.com/;47.379084;0.710692
Tours - Ecole Tourangelle Supérieure;5 rue Simier;37000;Tours;0247612412;i.bedu@ecoletourangellesuperieure.com;;47.388487;0.685983
Tours - Institut de Touraine;1 Rue de la Grandière - BP 72047;37020;Tours;0247057683;elisabethjaffre@institutdetouraine.com;http://institutdetouraine.com/;47.395476;0.695848
Troyes - Y SCHOOLS-GROUPE ADPS;18 Avenue des Lombards;10000;Troyes;0325711075;sophie.lacouture@yschools.fr;https://pfep.yschools.fr/;48.272556;4.077379
Valbonne - Centre international de Valbonne (CIV);190 Rue Frédéric Mistral;06560;Valbonne;0492965200;civ.delf@ac-nice.fr;http://www.civfrance.com/;43.620894;7.042026
Valence - Maison des Solidarités Nelson Mandela;25 Rue Charles Gounod;26000;Valence;04 75 55 37 96;accueil@mds-mandela.org;http://www.mds-mandela.org;44.92852;4.925658
Vichy - CAVILAM - Alliance Française;1 avenue des Célestins;03200;Vichy;0470308390;examens@cavilam.com;https://www.cavilam.com/;46.11992;3.425392
"Vierzon - Accompagnement, Loisirs et Formation";26 place Vaillant Couturier;18100;Vierzon;0951020484;associationalf18@gmail.com;;47.223372;2.07073
Villefranche-Sur-Saône - Calad'impulsion Formation;847 route de Frans;69400;Villefranche-Sur-Saône;0474025353;assistant@calad-impulsion.fr;http://www.calad-impulsion.fr;45.98492;4.732349
Villeneuve D'Ascq - Université de Lille - Site Flers-Château;365 bis rue Jules Guesde - bâtiment A - BP 50458;59658;Villeneuve D'Ascq;03 20 79 87 27;nermin.meyer@univ-lille.fr;https://clil.univ-lille.fr/certifications/;50.637632;3.148286
